review,name,address,longitude,latitude
13.08.25 günü akşam yemeğine için tercih ettik. Teras bölümünde gayet hersey güzel ve  sorunsuzdu. Mezeler ve ana yemek gayet güzeldi ama bir yıldız bilerek vermedim Buda kötü olduğundan değil sonuçta gurme değilim ama kimse Muhteşem değildir.İlgili ve alakalı bir ortamdı bizimle ilgilenen CEMALETTİN BEY gayet tecrübeli ve işini severek yapan biriydi çünkü tektek gelip yiyeceklerin neler ile yapıldığını işin arka tarafını anlatarak bizi yemeden bilgilendirdi. Ara ara gelip memnuniyetimizi sorguladı . Sanatçılar gayet güzel bir müzik dinletisi sundular bize sadece şunu diyebilirim alt ve üst kısma 2 sanatçı aynı anda bir orda bir burda inerek şarkı söylemesi biraz değişik geldi. İki yerin ayrı sanatçıları olabilir ilerde dikkate alınabilir. Fotoğrafçının bir anda gelip yemek yerken fotoğraf çekme konusunda izin isteme veya isterseniz diye rica etmesi gerekli. (Çünkü ben istemedim bunu belirten bir yazı veya bilgi mesajı olabilir rezervasyonda). Son olarak EKSTRA MASA SÜSLEME konusunda gerek olmadığını ona vereceğiniz ücreti başka şekilde değerlendire bileceğinizi düşünüyorum çünkü yapay gül yaprakları ile rüzgarda uçması dışında bir havası yok aman aman birşey değil yani .  Ama genel olarak hersey güzeldi ben güzel bir deneyim olarak düşünüyorum.  Tavsiye ediyorum.  Deniz kenarı masa 1995x2 kişi=3990 Servis ücreti =459tl Masa süslemesi 600tl (isteğe bağlı)  Toplam =5049 tl ödedim.,Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"Eski Şehir Hatları Vapurunu restorasyonla Boğaziçi güzergahında çalışan mükemmel bir gezi vapuruna dönüştürmüşler. İki yıl öncede Eminönü iskelesinden kalkışlı binmiştik. O zamanda kahvaltıdan memnun kalmıştık. Bugünde kaliteyi daha da artırarak harika  kahvaltılı bir Boğaziçi turu yaptık. Kahvaltının çeşit ve kalitesi, çalışanların güler yüzlü servisi son derece iyi idi. Sadece iki sene önceki üçlü müzik grubunu daha beğenmiştik. Biz en üst kattaki salonda masa rezerve yapmıştık. Bu sene birincisi kattaki salonu da güzel bulduk. Burada açık büfe kahvaltı  olması gayet güzel olmuş. Sadece bu senede drone ile çekim yaptırmak istedik ama önceden rezerve yapmadığımız için vapur içinde fiyat oldukça yüksek. Tabi vazgeçtik. Sonuç olarak tüm arkadaşlar kahvaltı programından memnun ayrıldı. Tekrar görüşmek dileğiyle.",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"Sabah 9 erken kahvaltı için Teras katında yer ayırttık, 2 kişi 3060₺ civarı ödedik. Yemekler çeşitli ve lezzetliydi. Boğaz boyu 2 saat süren manzara eşliğinde keyifli bir kahvaltı yaptık.  Olumsuz yanları  -canlı müzik var deniyor ancak müzisyen ilk 1 saat 3 şarkı söyleyip kalktı, 2. Saat 7-8 şarkı daha söyleyip bıraktı. Yani canlı müzik kahvaltı boyunca sürmüyor toplam 30 dk max o da aralıklı. -teras katında da bir alt katta da sigara içilmiyor sigara için altta açık bir alana çıkmak gerekiyor. -bir anda fotoğrafınız çekiliyor ve almak isterseniz ücret talep ediyorlar, fotoğraf müşterinin izni alındıktan sonra çekilmeli. -kalkış saati 9.15 olmasına rağmen 9.25 te kalkış yapıldı  Tavsiye: gidecekseniz teras katını seçin bir alt kat çok boğuk, pencereleri küçük, sanırım kahvaltıları da açık büfe gibi self servis. Terasta self servis yok her şey önünüze geliyor.",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"Ulaşım çok kolay, tramvayla gelirseniz baya yakın. Orta kat dış tarafta (sanırım gala salon geniş cam olarak geçiyordu) oturduk. İnternetten baktığınızda yerler ve özellikleri tam anlaşılmıyor ama çağrı merkezini aradığınızda çok yardımcı oluyorlar, menü ve görsel gönderiyorlar. Gala salon geniş pencerede de pencerenin açık olduğunu öğrenince orayı tercih ettik. Teras menüsündeki fark başlangıçlar, meze farkı, balık seçeneği vb. Gala menüsü yeterli geldiği için orayı seçtik. Mezeler hafif tuzlu geldi ama lezzetliydi. Ekmek sıcaktı. Sade sodanın kapalı şişe gelmesini tercih ederdik. Sebebini anlamadığımız şekilde az gazlıydı. Ana yemek lezzetliydi. Tatlı biraz yetersizdi. Teras tatlısını denemek isterdim ve cevizli baklava yerine çikolatalı tatlı tercih ederdim. Çay sınırsız. Müzisyenler iki kat arasında gidip geliyor ama bize yeterli geldi. Teras çift taraf full pencere olduğu için daha havadar gelebilir ama rüzgar varsa esebilir de. Gala geniş camın arkası kapalı salon olduğu için ferahlık algısı yukarıdaki kadar yüksek değil. Ama öte yandan yukarıya nazaran restoran havası var. Her yer açık olsun istiyorsanız yukarıyı, restoran vibe’ı için aşağıyı tercih edebilirsiniz. Personel canla başla çalışıyordu, kibardı, geminin kalkmasına 5 dk kala aradılar. En sevdiğimiz kısım bu oldu. İstanbul manzarasına zaten diyecek yok ;) sadece akşam yemeği kalkış saati biraz geç olduğundan hava yola çıktıktan kısa süre sonra karardı. Bi yarım saat geri çekilebilse çok iyi olur. Her şey için teşekkürler.",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"İstanbul Boğazı’nda çok keyifli bir tekne turu deneyimi yaşadık. Canlı müzik eşliğinde boğaz manzarası gerçekten harikaydı. Yemekler gayet güzeldi, özellikle mezelerden defalarca yedik, köy ekmeği çok lezzetliydi. Kaya levrek tercih ettik, onu da oldukça beğendik. Tatlıda ufak bir aksaklık yaşansa da kesinlikle puan kırılacak bir durum değildi.  Bizimle ilgilenen Murat Bey’e ayrıca teşekkür etmek isterim. Hem esprili, hem samimi hem de çok ilgiliydi. Kahve ikramı jesti ve beğendiğimiz mezelerden tekrar getirmesi çok hoş bir incelikti.  Eşimin doğum günü için özel bir günümüzde tercih ettik ve çok doğru bir seçim yapmışız. Gerçekten unutulmaz, keyifli ve özel bir akşamdı. Boğaz’da güzel bir deneyim yaşamak isteyen herkese gönül rahatlığıyla tavsiye ederim.",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"Hayatımda ilk ke böyle bir etkinliğe katıldım annemi ve kardeşimi de getirdim. İyi ki getirmiştim her şey şahaneydi. Yemek olsun, personel olsun ilgi alaka her şey şahane. Arkadaşların sürekli gelip masayı kontrol etmeleri, insanlara bir problem olup olmadığını sormaları bunlar çok küçük gözüken ama oldukça anlamlı detaylar. Burda nice anılar biriktirmek dileğiyle:))",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
Her şeyiyle harika bir deneyimdi. Yemekler çok lezzetli ve doyurucu porsiyonlardı. Atmosferi harikaydı. Yalnızca fotoğraf çektirmemenizi öneririm aşırı pahalıydı. Garsonumuz Mert bey bize akşam boyu eşlik etti ve harika bir servis hizmeti aldık. Tavsiye ederim.,Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"Öncelikle servis ve hizmet inanılmaz derecede iyi.Çalışanlar işini severek yapıyor. Erken kahvaltıya müsait yer kalmadığı için teras katında pencere kenarı geç kahvaltı yaptık. Masaya neredeyse sürekli bir ürün geliyor,tıka basa oluyorsunuz. Pahalı mı evet nispeten pahalı ama zaten sürekli yapılacak bir şey olmadığı için denemek istedik. Manzara güzel,hizmet iyi,keyifli bir kahvaltı yaptık.Tek eksi yanı ben kahvaltıyı pek lezzetli bulmadım açıkçası,daha lezzetli ürünler kullanılabilir. Onun dışında oldukça keyif aldık",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
"Mezeler çok güzeldi 😍onlarla karnımız doydu zaten. 😂 Ana yemek çok da güzel değil seçenek zaten ya tavuklu ya da etli keşkek. Daha güzel bir ana yemek koyabilirler. Pirzola, antrikot çok daha güzel olabilirdi. Tatlı içinde puanım 6/10. Hizmet kaliteli. Çalışanlar iyi. Atmosfer güzel. Canlı müzikte 4 şarkı falan söylendi sanırım. Fiyat performans diyebiliriz güzel bir deneyim ama daha güzel olabilir.",Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
Harika bir deneyim 5 çayı etkinliğine gittik eşimle özelikle yemek konusunda fazla beklentimiz yoktu ama ilk dakikadan son dakikasına kadar herşey mükemmeldi. Solistin sesi inanılmaz güzel ve pozitifti. yemekler gerçekten şahane ve istediğiniz kadar alabiliyorsunuz. Ortam şahane çalışanlar ilgili 1.5 saat boyunca inanılmaz eğlendik. Tek pişmanlığımız neden daha önce katılmamamızdı. Bu arada rezervasyonu kesinlikle 15 gün önce yapınız ve cam kenarını seçiniz. Özel günler için kesinlikle tavsiye edebilirsiniz. 5 çayı orta masa 700 TL bu kadar yemeğe eğlenmeye hizmete ve manzaraya göre bence bedava.,Le Vapeur Magique - TDİ Karaköy İskelesi,"Kemankeş Karamustafa Paşa, Rıhtım Cd. No:2/3, 34110 Beyoğlu/İstanbul, Türkiye",28.9752741,41.0215921
